accession,label,protein_name,gene_name,organism,seq_length,keywords
O15162,1,Phospholipid scramblase 1,PLSCR1,Homo sapiens,318,3D-structure; Alternative splicing; Antiviral defense; Calcium; Cell membrane; Cytoplasm; Direct protein sequencing; DNA-binding; Host cell receptor for virus entry; Host-virus interaction; Hydrolase; Lipid transport; Lipoprotein; Magnesium; Membrane; Nuclease; Nucleus; Palmitate; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; SH3-binding; Transmembrane; Transmembrane helix; Transport
O15245,1,Solute carrier family 22 member 1,SLC22A1,Homo sapiens,554,3D-structure; Alternative splicing; Cell membrane; Glycoprotein; Ion transport; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
O15399,1,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D,Homo sapiens,1336,3D-structure; Calcium; Cell membrane; Disease variant; Disulfide bond; Epilepsy; Glycoprotein; Ion channel; Ion transport; Ligand-gated ion channel; Magnesium; Membrane; Methylation; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Signal; Synapse; Transmembrane; Transmembrane helix; Transport
O15551,1,Claudin-3,CLDN3,Homo sapiens,220,Cell junction; Cell membrane; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Tight junction; Transmembrane; Transmembrane helix; Williams-Beuren syndrome
O15554,1,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4,Homo sapiens,427,3D-structure; Calmodulin-binding; Cell membrane; Cell projection; Disease variant; Hereditary hemolytic anemia; Immunity; Ion channel; Ion transport; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
O42043,1,Endogenous retrovirus group K member 18 Env polyprotein,ERVK-18,Homo sapiens,560,Cell membrane; Cleavage on pair of basic residues; Disulfide bond; ERV; Membrane; Reference proteome; Transmembrane; Transmembrane helix; Transposable element; Viral envelope protein; Virion
O43155,1,Leucine-rich repeat transmembrane protein FLRT2,FLRT2,Homo sapiens,660,Cell adhesion; Cell junction; Cell membrane; Developmental protein; Direct protein sequencing; Disulfide bond; Endoplasmic reticulum; Extracellular matrix; Glycoprotein; Leucine-rich repeat; Membrane; Microsome; Proteomics identification; Reference proteome; Repeat; Secreted; Signal; Synapse; Synaptosome; Transmembrane; Transmembrane helix
O43525,1,Potassium voltage-gated channel subfamily KQT member 3,KCNQ3,Homo sapiens,872,3D-structure; Alternative splicing; Cell membrane; Disease variant; Epilepsy; Ion channel; Ion transport; Membrane; Phosphoprotein; Potassium; Potassium channel; Potassium transport; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport; Ubl conjugation; Voltage-gated channel
O43526,1,Potassium voltage-gated channel subfamily KQT member 2,KCNQ2,Homo sapiens,872,3D-structure; Alternative splicing; Cell membrane; Disease variant; Epilepsy; Intellectual disability; Ion channel; Ion transport; Membrane; Phosphoprotein; Potassium; Potassium channel; Potassium transport; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport; Ubl conjugation; Voltage-gated channel
O43556,1,Epsilon-sarcoglycan,SGCE,Homo sapiens,437,Alternative splicing; Cell membrane; Cell projection; Cytoplasm; Cytoskeleton; Disease variant; Dystonia; Glycoprotein; Golgi apparatus; Membrane; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Ubl conjugation
O43581,1,Synaptotagmin-7,SYT7,Homo sapiens,403,3D-structure; Alternative splicing; Calcium; Calmodulin-binding; Cell membrane; Cell projection; Cytoplasmic vesicle; Exocytosis; Lipoprotein; Lysosome; Membrane; Metal-binding; Palmitate; Peroxisome; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Synapse; Transmembrane; Transmembrane helix
O43603,1,Galanin receptor type 2,GALR2,Homo sapiens,387,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
O43868,1,Sodium/nucleoside cotransporter 2,SLC28A2,Homo sapiens,658,Cell membrane; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix; Transport
O43914,1,TYRO protein tyrosine kinase-binding protein,TYROBP,Homo sapiens,113,3D-structure; Alternative splicing; Calcium; Cell membrane; Disulfide bond; Immunity; Membrane; Metal-binding; Phosphoprotein; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix
O60235,1,Transmembrane protease serine 11D,TMPRSS11D,Homo sapiens,418,3D-structure; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; Hydrolase; Membrane; Protease; Proteomics identification; Reference proteome; Secreted; Serine protease; Signal-anchor; Transmembrane; Transmembrane helix; Zymogen
O60266,1,Adenylate cyclase type 3,ADCY3,Homo sapiens,1144,Alternative splicing; ATP-binding; Calmodulin-binding; cAMP biosynthesis; Cell membrane; Cell projection; Cytoplasm; Glycoprotein; Golgi apparatus; Isopeptide bond; Lyase; Magnesium; Manganese; Membrane; Metal-binding; Nucleotide-binding; Obesity; Olfaction; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Sensory transduction; Transmembrane; Transmembrane helix; Ubl conjugation
O60469,1,Cell adhesion molecule DSCAM,DSCAM,Homo sapiens,2012,3D-structure; Alternative splicing; Cell adhesion; Cell membrane; Cell projection; Disulfide bond; Glycoprotein; Immunoglobulin domain; Membrane; Neurogenesis; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Secreted; Signal; Synapse; Transmembrane; Transmembrane helix
O60635,1,Tetraspanin-1,TSPAN1,Homo sapiens,241,Cell membrane; Glycoprotein; Lysosome; Membrane; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
O60667,1,Immunoglobulin mu Fc receptor,FCMR,Homo sapiens,390,3D-structure; Alternative splicing; Cell membrane; Disulfide bond; Endosome; Golgi apparatus; Immunity; Immunoglobulin domain; Lysosome; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Secreted; Signal; Transmembrane; Transmembrane helix
O60741,1,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,HCN1,Homo sapiens,890,3D-structure; cAMP; cAMP-binding; Cell membrane; Disease variant; Epilepsy; Glycoprotein; Ion channel; Ion transport; Ligand-gated ion channel; Membrane; Nucleotide-binding; Potassium; Potassium channel; Potassium transport; Proteomics identification; Reference proteome; Sodium; Sodium channel; Sodium transport; Transmembrane; Transmembrane helix; Transport; Voltage-gated channel
O60939,1,Sodium channel regulatory subunit beta-2,SCN2B,Homo sapiens,215,3D-structure; Atrial fibrillation; Brugada syndrome; Cell membrane; Cell projection; Disease variant; Disulfide bond; Glycoprotein; Immunoglobulin domain; Ion transport; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Signal; Sodium; Sodium transport; Transmembrane; Transmembrane helix; Transport
O75022,1,Leukocyte immunoglobulin-like receptor subfamily B member 3,LILRB3,Homo sapiens,631,3D-structure; Adaptive immunity; Alternative splicing; Cell membrane; Disulfide bond; Glycoprotein; Immunity; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
O75077,1,Disintegrin and metalloproteinase domain-containing protein 23,ADAM23,Homo sapiens,832,Alternative splicing; Cell adhesion; Cell membrane; Cleavage on pair of basic residues; Disulfide bond; EGF-like domain; Glycoprotein; Membrane; Proteomics identification; Reference proteome; Secreted; Signal; Transmembrane; Transmembrane helix
O75309,1,Cadherin-16,CDH16,Homo sapiens,829,Alternative splicing; Calcium; Cell adhesion; Cell membrane; Glycoprotein; Membrane; Metal-binding; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
O75762,1,Transient receptor potential cation channel subfamily A member 1,TRPA1,Homo sapiens,1119,3D-structure; ANK repeat; Calcium; Calcium channel; Calcium transport; Cell membrane; Coiled coil; Disease variant; Disulfide bond; Glycoprotein; Hydroxylation; Ion channel; Ion transport; Membrane; Oxidation; Proteomics identification; Reference proteome; Repeat; Sensory transduction; Transmembrane; Transmembrane helix; Transport
O75882,1,Attractin,ATRN,Homo sapiens,1429,Alternative splicing; Cell membrane; Direct protein sequencing; Disulfide bond; EGF-like domain; Glycoprotein; Inflammatory response; Kelch repeat; Laminin EGF-like domain; Lectin; Membrane; Proteomics identification; Receptor; Reference proteome; Repeat; Secreted; Signal; Transmembrane; Transmembrane helix
O94898,1,Leucine-rich repeats and immunoglobulin-like domains protein 2,LRIG2,Homo sapiens,1065,Cell membrane; Cytoplasm; Disulfide bond; Glycoprotein; Immunoglobulin domain; Leucine-rich repeat; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
O94985,1,Calsyntenin-1,CLSTN1,Homo sapiens,981,Alternative splicing; Calcium; Cell adhesion; Cell membrane; Cell projection; Direct protein sequencing; Endoplasmic reticulum; Glycoprotein; Golgi apparatus; Membrane; Nucleus; Postsynaptic cell membrane; Proteomics identification; Reference proteome; Repeat; Signal; Synapse; Transmembrane; Transmembrane helix
O95047,1,Olfactory receptor 2A4,OR2A4,Homo sapiens,310,Cell membrane; G-protein coupled receptor; Glycoprotein; Membrane; Olfaction; Receptor; Reference proteome; Sensory transduction; Transducer; Transmembrane; Transmembrane helix
O95342,1,Bile salt export pump,ABCB11,Homo sapiens,1321,3D-structure; ATP-binding; Cell membrane; Disease variant; Endosome; Glycoprotein; Intrahepatic cholestasis; Lipid transport; Membrane; Nucleotide-binding; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Translocase; Transmembrane; Transmembrane helix; Transport; Ubl conjugation
O95622,1,Adenylate cyclase type 5,ADCY5,Homo sapiens,1261,3D-structure; Alternative splicing; ATP-binding; cAMP biosynthesis; Cell membrane; Cell projection; Cilium; Disease variant; Glycoprotein; Intellectual disability; Lyase; Magnesium; Membrane; Metal-binding; Methylation; Nucleotide-binding; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Transmembrane; Transmembrane helix
O95907,1,Monocarboxylate transporter 3,SLC16A8,Homo sapiens,504,Cell membrane; Membrane; Proteomics identification; Reference proteome; Symport; Transmembrane; Transmembrane helix; Transport
O95944,1,Natural cytotoxicity triggering receptor 2,NCR2,Homo sapiens,276,3D-structure; Alternative splicing; Cell membrane; Disulfide bond; Glycoprotein; Immunoglobulin domain; Membrane; Proteomics identification; Receptor; Reference proteome; Signal; Transmembrane; Transmembrane helix
O95977,1,Sphingosine 1-phosphate receptor 4,S1PR4,Homo sapiens,384,3D-structure; Cell membrane; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Proteomics identification; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P01732,1,T-cell surface glycoprotein CD8 alpha chain,CD8A,Homo sapiens,235,3D-structure; Adaptive immunity; Alternative splicing; Cell membrane; Disease variant; Disulfide bond; Glycoprotein; Immunity; Immunoglobulin domain; Lipoprotein; Membrane; Palmitate; Proteomics identification; Reference proteome; Secreted; Signal; Transmembrane; Transmembrane helix
P01877,1,Immunoglobulin heavy constant alpha 2,IGHA2,Homo sapiens,391,3D-structure; Adaptive immunity; Alternative splicing; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; Immunity; Immunoglobulin; Immunoglobulin domain; Membrane; Proteomics identification; Reference proteome; Repeat; Secreted; Transmembrane; Transmembrane helix
P01909,1,"HLA class II histocompatibility antigen, DQ alpha 1 chain",HLA-DQA1,Homo sapiens,254,3D-structure; Adaptive immunity; Cell membrane; Direct protein sequencing; Disulfide bond; Endoplasmic reticulum; Endosome; Glycoprotein; Golgi apparatus; Immunity; Lysosome; Membrane; MHC II; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix
P02786,1,Transferrin receptor protein 1,TFRC,Homo sapiens,760,3D-structure; Cell membrane; Direct protein sequencing; Disease variant; Disulfide bond; Endocytosis; Glycoprotein; Host cell receptor for virus entry; Host-virus interaction; Lipoprotein; Malaria; Membrane; Palmitate; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Secreted; Signal-anchor; Transducer; Transmembrane; Transmembrane helix
P03999,1,Short-wave-sensitive opsin 1,OPN1SW,Homo sapiens,345,3D-structure; Cell membrane; Cell projection; Chromophore; Cytoplasm; Disease variant; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Phosphoprotein; Photoreceptor protein; Proteomics identification; Receptor; Reference proteome; Retinal protein; Sensory transduction; Transducer; Transmembrane; Transmembrane helix; Vision
P04201,1,Proto-oncogene Mas,MAS1,Homo sapiens,325,Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Proteomics identification; Proto-oncogene; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P04626,1,Receptor tyrosine-protein kinase erbB-2,ERBB2,Homo sapiens,1255,3D-structure; Activator; Alternative initiation; Alternative splicing; ATP-binding; Cell membrane; Cell projection; Chromosomal rearrangement; Cytoplasm; Disease variant; Disulfide bond; Endosome; Glycoprotein; Kinase; Membrane; Nucleotide-binding; Nucleus; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Signal; Transcription; Transcription regulation; Transferase; Transmembrane; Transmembrane helix; Tyrosine-protein kinase
P05106,1,Integrin beta-3,ITGB3,Homo sapiens,788,3D-structure; Alternative splicing; Calcium; Cell adhesion; Cell junction; Cell membrane; Cell projection; Direct protein sequencing; Disease variant; Disulfide bond; EGF-like domain; Glycoprotein; Host cell receptor for virus entry; Host-virus interaction; Integrin; Magnesium; Membrane; Metal-binding; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Synapse; Transmembrane; Transmembrane helix
P05362,1,Intercellular adhesion molecule 1,ICAM1,Homo sapiens,532,3D-structure; Cell adhesion; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; Host cell receptor for virus entry; Host-virus interaction; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix; Ubl conjugation
P06028,1,Glycophorin-B,GYPB,Homo sapiens,91,3D-structure; Alternative splicing; Blood group antigen; Cell membrane; Direct protein sequencing; Glycoprotein; Membrane; Reference proteome; Sialic acid; Signal; Transmembrane; Transmembrane helix
P06126,1,T-cell surface glycoprotein CD1a,CD1A,Homo sapiens,327,3D-structure; Adaptive immunity; Cell membrane; Disulfide bond; Endosome; Glycoprotein; Immunity; Immunoglobulin domain; Membrane; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix
P06734,1,Low affinity immunoglobulin epsilon Fc receptor,FCER2,Homo sapiens,321,3D-structure; Calcium; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; IgE-binding protein; Lectin; Lipoprotein; Membrane; Metal-binding; Palmitate; Proteoglycan; Proteomics identification; Receptor; Reference proteome; Repeat; Secreted; Signal-anchor; Transmembrane; Transmembrane helix
P06756,1,Integrin alpha-V,ITGAV,Homo sapiens,1048,3D-structure; Alternative splicing; Calcium; Cell adhesion; Cell junction; Cell membrane; Cleavage on pair of basic residues; Direct protein sequencing; Disulfide bond; Glycoprotein; Host cell receptor for virus entry; Host-virus interaction; Integrin; Membrane; Metal-binding; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
P07510,1,Acetylcholine receptor subunit gamma,CHRNG,Homo sapiens,517,Alternative splicing; Cell membrane; Disease variant; Disulfide bond; Glycoprotein; Ion channel; Ion transport; Ligand-gated ion channel; Membrane; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Signal; Synapse; Transmembrane; Transmembrane helix; Transport
P08172,1,Muscarinic acetylcholine receptor M2,CHRM2,Homo sapiens,466,3D-structure; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Membrane; Phosphoprotein; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Synapse; Transducer; Transmembrane; Transmembrane helix
P08637,1,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Homo sapiens,254,3D-structure; Cell membrane; Disulfide bond; Glycoprotein; IgG-binding protein; Immunity; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Secreted; Signal; Transmembrane; Transmembrane helix
P08648,1,Integrin alpha-5,ITGA5,Homo sapiens,1049,3D-structure; Calcium; Cell adhesion; Cell junction; Cell membrane; Cleavage on pair of basic residues; Direct protein sequencing; Disulfide bond; Glycoprotein; Host cell receptor for virus entry; Host-virus interaction; Integrin; Membrane; Metal-binding; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
P08887,1,Interleukin-6 receptor subunit alpha,IL6R,Homo sapiens,468,3D-structure; Alternative splicing; Cell membrane; Direct protein sequencing; Disulfide bond; Glycoprotein; Immunoglobulin domain; Membrane; Proteomics identification; Receptor; Reference proteome; Repeat; Secreted; Signal; Transmembrane; Transmembrane helix
P08922,1,Proto-oncogene tyrosine-protein kinase ROS,ROS1,Homo sapiens,2347,3D-structure; ATP-binding; Cell membrane; Chromosomal rearrangement; Glycoprotein; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Proteomics identification; Proto-oncogene; Receptor; Reference proteome; Repeat; Signal; Transferase; Transmembrane; Transmembrane helix; Tyrosine-protein kinase
P09603,1,Macrophage colony-stimulating factor 1,CSF1,Homo sapiens,554,3D-structure; Alternative splicing; Cell membrane; Cytokine; Direct protein sequencing; Disulfide bond; Glycoprotein; Growth factor; Immunity; Inflammatory response; Innate immunity; Membrane; Phosphoprotein; Proteoglycan; Proteomics identification; Reference proteome; Secreted; Signal; Transmembrane; Transmembrane helix
P09848,1,Lactase/phlorizin hydrolase,LCT,Homo sapiens,1927,Cell membrane; Disease variant; Glycoprotein; Glycosidase; Hydrolase; Membrane; Multifunctional enzyme; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix; Zymogen
P0DMS8,1,Adenosine receptor A3,ADORA3,Homo sapiens,318,3D-structure; Alternative splicing; Cell membrane; Disulfide bond; G-protein coupled receptor; Glycoprotein; Lipoprotein; Membrane; Palmitate; Receptor; Reference proteome; Transducer; Transmembrane; Transmembrane helix
P10721,1,Mast/stem cell growth factor receptor Kit,KIT,Homo sapiens,976,3D-structure; Alternative splicing; ATP-binding; Cell membrane; Cytoplasm; Direct protein sequencing; Disease variant; Disulfide bond; Glycoprotein; Immunoglobulin domain; Kinase; Magnesium; Membrane; Metal-binding; Nucleotide-binding; Phosphoprotein; Proteomics identification; Proto-oncogene; Receptor; Reference proteome; Repeat; Signal; Transferase; Transmembrane; Transmembrane helix; Tyrosine-protein kinase; Ubl conjugation
P12830,1,Cadherin-1,CDH1,Homo sapiens,882,3D-structure; Alternative splicing; Calcium; Cell adhesion; Cell junction; Cell membrane; Cleavage on pair of basic residues; Cytoplasm; Direct protein sequencing; Disease variant; Disulfide bond; Ectodermal dysplasia; Endosome; Glycoprotein; Golgi apparatus; Membrane; Metal-binding; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix; Ubl conjugation
P13164,1,Interferon-induced transmembrane protein 1,IFITM1,Homo sapiens,125,Antiviral defense; Cell membrane; Immunity; Innate immunity; Lipoprotein; Lysosome; Membrane; Osteogenesis; Palmitate; Phosphoprotein; Proteomics identification; Reference proteome; Transmembrane; Transmembrane helix
P13473,1,Lysosome-associated membrane glycoprotein 2,LAMP2,Homo sapiens,410,3D-structure; Alternative splicing; Autophagy; Cell membrane; Cytoplasmic vesicle; Direct protein sequencing; Disease variant; Disulfide bond; Endosome; Glycogen storage disease; Glycoprotein; Lysosome; Membrane; Proteomics identification; Reference proteome; Signal; Transmembrane; Transmembrane helix
P13591,1,Neural cell adhesion molecule 1,NCAM1,Homo sapiens,858,3D-structure; Alternative splicing; Cell adhesion; Cell membrane; Disulfide bond; Glycoprotein; GPI-anchor; Host cell receptor for virus entry; Host-virus interaction; Immunoglobulin domain; Lipoprotein; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Repeat; Secreted; Signal; Transmembrane; Transmembrane helix
P13688,1,Cell adhesion molecule CEACAM1,CEACAM1,Homo sapiens,526,3D-structure; Alternative splicing; Cell junction; Cell membrane; Cell projection; Cytoplasmic vesicle; Direct protein sequencing; Disulfide bond; Glycoprotein; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Pyrrolidone carboxylic acid; Reference proteome; Repeat; Secreted; Signal; Transmembrane; Transmembrane helix
P13866,1,Sodium/glucose cotransporter 1,SLC5A1,Homo sapiens,664,3D-structure; Alternative splicing; Cell membrane; Disease variant; Disulfide bond; Glycoprotein; Ion transport; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Sodium; Sodium transport; Sugar transport; Symport; Transmembrane; Transmembrane helix; Transport
P14784,1,Interleukin-2 receptor subunit beta,IL2RB,Homo sapiens,551,3D-structure; Cell membrane; Disease variant; Disulfide bond; Glycoprotein; Host-virus interaction; Membrane; Proteomics identification; Receptor; Reference proteome; Signal; Transmembrane; Transmembrane helix
P14867,1,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,Homo sapiens,456,3D-structure; Cell membrane; Chloride; Chloride channel; Cytoplasmic vesicle; Disease variant; Disulfide bond; Epilepsy; Glycoprotein; Ion channel; Ion transport; Ligand-gated ion channel; Membrane; Postsynaptic cell membrane; Proteomics identification; Receptor; Reference proteome; Signal; Synapse; Transmembrane; Transmembrane helix; Transport
P15260,1,Interferon gamma receptor 1,IFNGR1,Homo sapiens,489,3D-structure; Alternative splicing; Cell membrane; Direct protein sequencing; Disease variant; Disulfide bond; Glycoprotein; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Receptor; Reference proteome; Signal; Transmembrane; Transmembrane helix; Ubl conjugation
P15391,1,B-lymphocyte antigen CD19,CD19,Homo sapiens,556,3D-structure; Adaptive immunity; Alternative splicing; Cell membrane; Disulfide bond; Glycoprotein; Immunity; Immunoglobulin domain; Membrane; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Signal; Transmembrane; Transmembrane helix
P15941,1,Mucin-1,MUC1,Homo sapiens,1255,3D-structure; Alternative splicing; Autocatalytic cleavage; Cell membrane; Cytoplasm; Direct protein sequencing; Disulfide bond; Glycoprotein; Lipoprotein; Membrane; Nucleus; Palmitate; Phosphoprotein; Proteomics identification; Reference proteome; Repeat; Secreted; Signal; Transmembrane; Transmembrane helix; Tumor suppressor
